text,label,Prediction
i feel so strongly and passionate about so hearing that just made my heart sink,1,2
i feel i would have to answer would be about supporting understanding people with differences disabilities because i ve done it in one way or another for so long,2,2
i quickly learned just by moving from sauna to ice cold bath to steam room to shower until you feel like a tortured goldilocks who wants nothing more than to find the middle ground between too hot and too cold,4,4
i haven t quite figured out and whenever i can t find the time or ability or money to take care of each side equally i end up feeling disappointed,0,0
i know it will come next week and i will sit in it relish it love it hate it and feel the hurt,0,0
i feel uncertain about,4,4
i want is to be happy and to feel loved,2,2
i feel like i am waiting for an unpleasant meeting with someone in an authoritative position,0,0
i feel a bit melancholy when i think about not teaching the children i don t yet have about the love of jesus or not taking them to sunday school or not having them attend vacation bible school,0,0
i feel somewhat frightened by the number of policemen that arrived but told them they may come inside and search for whatever they need to,4,4
i feel sorry for them,0,0
i liked knowing that i am not the only one feeling the way i do about job options the thing that i liked the most was i was able to find some career path and i found some interests,2,2
i still feel constantly paranoid and anxious i keep wanting to go on facebook to check he hasn t been back on there i keep wanting to go through the texts on his phone i feel edgy when he s at work and want him to come straight home to me,4,4
i left feeling helpless and more than a little sad,4,0
i have become more and more concerned not only for my own future daughters but for all the girls who are out there currently trying to feel accepted by the worlds standards,2,2
i feel so inspired,1,1
i dont want the big buttons simply as i dont feel bothered with nice looking button holes maybe next time i have a suspicion they could be the cause of giving up again so to avoid negativity i ordered extra large red press studs that i will attach using a decorative stitch visible from the outside,3,3
i cant help but feel as though perhaps my perception isnt as keen as i once thought,1,1
i feel like i have suddenly lost a limb in a tragic accident,0,0
i went to bed feeling very pleased with my lovely day out and feeling like id made a few really lovely friends,1,1
i worked very hard on holding my technique when i was tired and i feel sure that it is improving,1,1
im back to watching running man and i love it i got back the feeling of why i loved running man,2,2
i feel that rich people will never understand the cruelty of money,1,1
i feel quite needy have not recourse amp u http cabeal,0,0
i think the ideal preparation for birth for anybody not just me puts you in a place where you feel confident in your knowledge in your caregivers in your support system and in your body,1,1
i dont know why i feel so frantic about this but i really want to have this particular song for my little girl to be,4,4
i set off feeling strangely nervous and quite weak but slowly worked through the problems and was soon attempting the toughest problems,4,4
i feel like theres a dangerous chance that im pulling a don quixote on this blinding rushing at the windmill that is my eventual marriage or future child,3,3
i feel like i missed numerous vantage points,0,0
i feel so amazed with myself as i could stride nonstop for more than minutes,5,5
i can walk down another street and stop feeling helpless and hopeless,4,0
i feel a sense of relief and also sadness because im ending and my colleagues most anyway have been oh so fab,1,1
i feel that at shows and around show horses people are trusting and relaxed because most show horses are safe and quiet and are handled frequently,1,1
i still feel good about the fact that im smaller than her now but thats not the drive that got me here,1,1
i just don t feel like having distraught parents breathing down my neck,4,4
i miss her so much every moment but now i feel like i miss her even more like she is as far away as she has ever been because i am so distracted,3,3
i feel slightly charmed and wishful,1,1
id like to be less afraid to say how i really feel less afraid to travel,4,4
i will definitely be passing on my thanks to these wonderfully gifted people but words alone are difficult to express their awesomness and the feeling of safety when they are caring for us,2,2
i ever get to feel what these needy feel if i stay away from them,0,0
i feel like him try to stay as faithful as possible to what he perceives as the real events that happened in that mountain,1,1
i feel the delicious heat rising in me again begging for release but i try to stave it off,1,1
i was just feeling a little bit creative,1,1
i was coming back to the couch was tough but i was feeling ok about it,1,1
i hope that by telling them ill find out more about who i am how i got to this place in time and not feel so lost and alone,0,0
i feel kind of strange,5,4
